Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
USHINDI ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,10.5,21,4,1,1,0,1,0,0,42,0,0,0,0,0,0,3,3,1,1,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,KWANZA,KWANZA,KAISAGAT,"(1.070752, 35.050058)",
NYASITA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18,18,9,1,1,1,0,1,0,0,18,0,0,0,0,0,0,1,0,1,0,RIFT VALLEY,NAROK,TRANS MARA,KILGORIS,KILGORIS,OSINONI,"(-1.00755, 34.84538)",
GREEN PARK PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.9,32.2,27.4,17,10,10,0,5,0,0,547,0,0,0,0,0,0,18,7,12,20,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.47163, 35.256186)",
KILIMANI JUNIOR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.4,24.8,44.7,18,5,5,0,1,230,217,447,0,0,0,0,0,0,9,14,13,5,NAIROBI,NAIROBI,NAIROBI,KIBERA,LANGATA,LANGATA,"(-1.362155, 36.744474)",
ST. NICHOLAS ANNEX PREP. SCH - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.7,5.5,4.8,35,20,20,0,6,110,82,192,0,0,0,0,0,0,5,9,3,3,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,KILIMANI,WESTLANDS,"(-1.296453, 36.7764)",
MOMBASA STARSHINE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,KIPEVU,CHANGAMWE,"(-4.02322, 39.61983)",
TUMAINI SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.3,12.4,31,5,1,1,0,1,0,0,62,0,0,0,0,0,0,4,2,1,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,RUARAKA,KASARANI,"(-1.249194, 36.87369)",
NYERI STEINER PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.8,9.5,6.8,13,9,9,0,4,0,0,123,0,0,0,0,0,0,3,11,0,7,CENTRAL,NYERI,NYERI,TETU,KARUNDU,TETU,"(-0.480888888, 36.9182)",
ST. STEPHEN PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.3,30.5,22.2,8,4,7,0,3,0,0,244,0,0,0,0,0,0,7,8,5,3,COAST,TAITA TAVETA,TAITA TAVETA,VOI,VOI,VOI,"(-3.38975, 38.55909)",
KANDARA TOWNSHIP ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.2,19.2,21.1,11,2,8,0,3,0,0,211,0,0,0,0,0,0,10,3,3,2,CENTRAL,MURANG'A,MARAGUA,KANDARA,ITHIRU,KANDARA,"(-0.894815278, 37.00191528)",
NYATHUNA PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,26.4,30.8,23.1,6,4,4,0,2,0,0,185,2,5,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,BAHATI,"(-0.21032, 36.130553)",
JERUSALEM ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,12,6,1,1,1,0,0,0,0,12,0,0,0,0,0,0,0,3,0,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,AINABKOI,ELDORET NORTH,CHEPKOILEL,"(0.539629, 35.291345)",
MOONLIGHT SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,TOWNSHIP,KANDUYI,"(0.59774, 34.54664)",
DAYSTAR KANGURE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,INTEGRATED,10.8,10.8,32.5,6,1,1,0,2,0,0,65,0,0,0,0,0,0,1,5,1,0,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,KANGAI,MWEA,"(-0.61575222, 37.30925222)",
MOSORIOT JUNR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.8,20.3,28.4,7,3,2,0,1,0,0,142,0,0,0,0,0,0,5,3,2,2,RIFT VALLEY,NANDI,NANDI NORTH,KOSIRAI,MOSOP,MUTWOT,"(0.32613, 35.17134)",
SPRINGS JUNIOR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.2,16.7,25,12,4,4,0,2,0,0,200,0,0,0,0,0,0,7,4,2,6,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,GILGIL,"(-0.49583, 36.310116)",
THE SEARCH SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,0,4.6,11.5,5,1,1,0,1,0,0,23,0,0,0,0,0,0,0,0,3,2,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.192537, 36.956091)",
NYERI GOOD SHEPHERD PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,20.5,33,22,18,11,16,0,6,0,0,594,0,0,0,0,0,0,14,15,24,11,CENTRAL,NYERI,NYERI,MUNICIPALITY,MUKARO,NYERI TOWN,"(-0.412189, 36.9587)",
KAMUGUNDA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.9,9.9,7.2,8,5,6,0,2,0,0,79,0,0,0,0,5,3,0,0,1,1,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,GATANJE,OL_KALOU,"(-0.0159255, 36.3103641)",
SOTIK ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,0,25.4,38.1,15,5,5,0,2,0,0,381,0,0,0,0,0,0,0,0,3,4,RIFT VALLEY,BOMET,BURETI,SOTIK,SOTIK,MANARET,"(-0.682985, 35.102525)",
MUSTARD SEED PREPARATORY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.5,5.8,26,9,1,1,0,2,0,0,52,0,0,0,0,0,0,2,6,1,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,KAPSARET,"(0.479232, 35.173272)",
LIGHT CHRISTIAN ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.7,33.3,50,3,1,1,0,1,0,0,100,0,0,0,0,3,3,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,KAWANGWARE,DAGORETTI,"(-1.272323, 36.757093)",
KENVALE ACADEMY WAITHAKA (PRI),PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4,2,4,8,2,2,0,1,0,0,16,0,0,0,0,0,0,1,3,1,1,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,WAITHAKA,DAGORETTI,"(-1.280126, 36.712159)",
FOUNTAIN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,1.7,5,2.5,1,1,1,0,1,0,0,5,0,0,0,0,0,0,1,2,1,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.542844, 35.233003)",
CHEMOGO PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,35.6,0,0,0,0,0,0,2,0,0,641,6,12,0,0,0,0,0,0,0,0,RIFT VALLEY,BOMET,BURETI,KIMULOT,KONOIN,SAOSA,"(-0.502258, 35.211722)",
TEMBWO SPRING PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,7.4,13.4,9,2,3,0,1,0,0,67,0,0,0,0,0,0,0,0,2,0,RIFT VALLEY,BOMET,BOMET,SOTIK,SOTIK,RONGENA,"(-0.763354, 35.087438)",
SHEIK ZAYED PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,16.5,30.9,6.6,16,36,39,0,9,0,0,495,0,0,0,0,0,0,24,6,17,30,COAST,MOMBASA,MOMBASA,KISAUNI,KONGOWEA,KISAUNI,"(-4.02307, 39.70289)",
KIBABET PRI,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,41.7,46.3,26.1,9,8,8,0,4,0,0,417,4,6,0,0,0,0,0,0,0,0,RIFT VALLEY,NANDI,NANDI SOUTH,NANDI HILLS,TINDERET,MOGOBICH,"(0.143622, 35.283467)",
THE CRANE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12.6,17.4,23.2,8,2,4,0,1,0,0,139,0,0,0,0,0,0,6,5,6,7,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,MUNICIPALITY,"(0.98352, 34.959021)",
ST. MICHAEL'S PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19,19,38,8,2,2,0,2,0,0,152,0,0,0,0,0,0,5,3,1,1,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.02764, 39.68838)",
BETHEL DAIMA ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,5.8,17.5,6,1,1,0,1,0,0,35,0,0,0,0,0,0,3,2,1,0,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KAMUKUYWA,KIMILILI,"(0.848043, 34.790979)",
SPRING FIELDS PRMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,UMOJA,EMBAKASI,"(-1.28321, 36.88471)",
SACRED HEART ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,15.8,21,4,2,1,0,1,0,0,63,0,0,0,0,0,0,2,5,1,2,WESTERN,BUNGOMA,BUNGOMA,TONGAREN,NDALU,KIMILILI,"(0.782429, 35.009432)",
LIMIGOSHEP CHILDREN CENTER PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19,0,9.5,0,1,1,0,1,10,9,19,0,0,0,0,0,0,0,1,2,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,NAIROBI WEST,LANGATA,"(-1.327655, 36.82383)",
ALL SAINTS NJABINI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,6.5,6.5,4.3,8,6,6,0,2,0,0,52,0,0,0,0,0,0,4,4,2,3,CENTRAL,NYANDARUA,NYANDARUA,SOUTH KINANGOP,NJABINI,KINANGOP,"(-0.712790555, 36.62147028)",
EVAM PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,6.7,7.5,15,8,2,2,0,1,0,0,60,0,0,0,0,0,0,4,5,1,1,CENTRAL,NYERI,NYERI,KIENI WEST,GATARAKWA,KIENI,"(-0.182240833, 36.82019611)",
SILVERGATE ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,13.1,23.4,14.9,14,10,12,0,4,0,0,327,0,0,0,0,0,0,10,15,8,9,NAIROBI,NAIROBI,NAIROBI,MAKADARA,MAKADARA,EMBAKASI,"(-1.279817, 36.873282)",
JEDIPAH ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,27.7,34.6,30.8,8,3,6,0,2,0,0,277,0,0,0,0,4,6,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,GITHUNGURI,GITHIGA,GITHUNGURI,"(-1.06311, 36.72253)",
MUANDA MISSION ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,35,10,35,7,1,1,0,1,0,0,70,0,0,0,0,0,2,0,0,1,3,WESTERN,BUNGOMA,BUNGOMA,BUMULA,SOUTH BUKUSU,BUMULA,"(0.559248, 34.50025)",
KIRINYAGA PLAINA VIEW,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,20.9,20.9,23.9,8,3,4,0,2,0,0,167,0,0,0,0,0,0,5,3,3,1,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,TEBERE,MWEA,"(-0.683993, 37.354976)",
NEW HOPE PREP SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.3,19,14.3,6,4,4,0,2,0,0,114,0,0,0,0,0,0,3,4,0,2,COAST,MOMBASA,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,"(-3.99836, 39.63187)",
KIANGWENYI UPPERHILL ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.4,19.6,26.2,8,2,4,0,1,0,0,157,0,0,0,0,0,0,4,5,3,2,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KIRIMA,GICHUGU,"(-0.444219, 37.289805)",
TUWAI PREPARATORY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.8,4.8,9.5,4,1,1,0,1,0,0,19,0,0,0,0,0,0,2,2,0,1,RIFT VALLEY,NANDI,NANDI NORTH,KOSIRAI,MOSOP,KOKWET,"(0.32499, 35.14589)",
SACRED OASIS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,9.6,15.6,25,8,2,3,0,2,0,0,125,0,0,0,0,0,0,9,4,4,3,CENTRAL,NYERI,NYERI,MATHIRA,MUGUTU,MATHIRA,"(-0.384347, 37.156211)",
NANYUKI PREPARATORY PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.5,11.5,15.3,8,3,3,0,1,0,0,92,0,0,0,0,0,0,3,5,2,2,RIFT VALLEY,LAIKIPIA,LAIKIPIA,CENTRAL - LAIKIPIA,LAIKIPIA EAST,MUNICIPALITY,"(0.015846, 37.07961)",
MIRACLE ACADEMY KAMUNGUNDA,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,INTEGRATED,10,8.9,13.3,9,3,3,0,2,0,0,80,0,0,0,0,0,0,4,4,2,0,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,"(-0.427783, 37.366149)",
J MARWA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21,28,42,9,3,3,0,2,0,0,252,0,0,0,0,0,0,8,4,2,2,COAST,MOMBASA,MOMBASA,CHANGAMWE,MIRITINI,CHANGAMWE,"(-4.00313, 39.5968)",
MINNA ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.7,7.7,11.5,3,1,1,0,1,0,0,23,0,0,0,0,0,0,0,3,0,2,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01362, 39.69608)",
HII VIEW ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12.9,16.1,16.1,8,4,4,0,2,0,0,129,0,0,0,0,0,0,2,8,0,0,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,KIBABI,KANDUYI,"(0.61464, 34.54456)",
SANTAPRIS ACADEMY  - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.9,7.5,10.4,11,4,4,0,1,0,0,83,0,0,0,0,0,0,2,5,0,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,"(-1.231027, 36.931066)",
GOSPAL PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,7,3.5,1,1,1,0,1,0,0,7,0,0,0,0,0,0,0,1,0,1,COAST,MOMBASA,MOMBASA,KISAUNI,BAMBURI,KISAUNI,"(-3.9985, 39.70101)",
AMOOS JUNIOR PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.7,3.7,5.5,3,1,1,0,1,0,0,11,0,0,0,0,0,0,0,3,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,PIONEER,"(0.508921, 35.258098)",
IMANI B INTERGRATED CENTRE,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,WESTERN,BUNGOMA,BUNGOMA,KANDUYI,KIBABI,KANDUYI,"(0.64654, 34.50881)",
STAR OF PEACE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,9.5,9.5,4,2,2,0,1,0,0,38,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,BOMET,BURETI,KONOIN,KONOIN,SIMOTI,"(-0.638229, 35.286247)",
CITY DAY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,DANDORA,EMBAKASI,"(-1.237682, 36.90811)",
CHRIS PREPARATORY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,17.9,21.5,53.8,10,2,2,0,1,0,0,215,0,0,0,0,0,0,9,3,1,1,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01795, 39.67878)",
GREEN PASTURES PRI. SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.2,20,40,10,2,3,0,1,113,87,200,0,0,0,0,0,0,3,6,3,1,NAIROBI,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA,"(-1.308223, 36.78302)",
JANET PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.4,20.9,11,11,9,12,0,2,0,0,230,0,0,0,0,0,0,7,7,4,5,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,NDUNDORI,OL_KALOU,"(-0.211903, 36.238064)",
STARLIGHT ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,9.3,21.7,7,1,2,0,1,0,0,65,0,0,0,0,0,0,0,0,2,1,RIFT VALLEY,NAROK,NAROK,MULOT,NAROK SOUTH,ILMOTIOK,"(-0.86287, 35.51704)",
DAMMAM A ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.7,18.1,63.5,7,1,1,0,1,0,0,127,0,0,0,0,0,0,5,5,1,1,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.07968, 39.6544)",
JUBILEE ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.3,18.5,18.5,2,1,1,0,0,0,0,37,0,0,0,0,0,0,1,3,0,0,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.08802, 39.65562)",
BLESSED KIDS ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.6,30.9,27,7,4,4,0,2,0,0,216,0,0,0,0,0,0,9,4,2,4,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,DUNDORI,"(-0.3039, 36.15642)",
SHINING STARS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,15.4,18,54,6,1,1,0,1,0,0,108,0,0,0,0,0,0,3,4,1,3,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.48389, 36.96037)",
ST THERESE'S HEKIMA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.8,3.8,0,4,0,0,0,0,0,0,15,0,0,0,0,0,0,1,3,1,1,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,NGERIA,"(0.421423, 35.286065)",
JOYLAND JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.245968, 36.884102)",
ST. LAWRENCE CHILDREN'S CENTRE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,24,12,8,2,2,1,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,WAITALUK,"(0.995312, 35.018863)",
BACK TO GLORY PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,24.7,33.6,52.2,14,3,6,0,1,258,212,470,0,0,0,0,0,0,12,7,4,4,NAIROBI,NAIROBI,NAIROBI,DAGORETTI,RIRUTA,DAGORETTI,"(-1.288565, 36.738928)",
BRIGHT FUTURE  PRI  SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,5,7.5,3,1,1,3,1,6,9,15,0,0,0,0,0,3,0,0,0,1,CENTRAL,KIAMBU,THIKA,MUNICIPALITY,THIKA MUNICIPALITY,JUJA,"(-1.039486, 37.042666)",
JOYKAM JUNIOR ACADEMY  PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,12.3,15.4,18.5,12,4,6,0,2,0,0,185,0,0,0,0,0,0,2,13,1,5,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.21159, 36.939483)",
HIGHLANDS HIGHWAY ACADEMY-PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.5,15.6,15.6,8,4,4,0,2,0,0,125,0,0,0,0,5,5,0,0,0,1,CENTRAL,MURANG'A,MURANGA,KAHURO,MURARANDIA,KIHARU,"(-0.727892222, 36.91683694)",
ST. PETER'S ACADEMY MILIMANI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.4,20.5,20.5,8,5,3,0,2,0,0,164,0,0,0,0,0,0,4,6,4,3,WESTERN,BUNGOMA,BUNGOMA,WEBUYE,WEBUYE,WEBUYE,"(0.622123, 34.760681)",
NANYUKI PEAKVIEW ACA. PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.7,14.8,29.7,6,2,1,0,2,0,0,89,0,0,0,0,0,0,0,7,1,1,RIFT VALLEY,LAIKIPIA,LAIKIPIA,CENTRAL - LAIKIPIA,LAIKIPIA EAST,NTURUKUMA,"(0.035824, 37.099653)",
MOTHER CARE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.4,10.6,14.2,8,3,3,0,1,0,0,85,0,0,0,0,0,0,3,6,0,0,CENTRAL,NYANDARUA,NYANDARUA,SOUTH KINANGOP,MAGUMU,KINANGOP,"(-0.865627222, 36.57331528)",
VALENCE SCHOOL PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.1,11.4,18.2,8,2,3,0,2,0,0,91,0,0,0,0,0,0,6,3,4,3,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KABETE,KABETE,"(-1.21855, 36.72621)",
ROYAL INTERNATIONAL ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,GITHURAI,KASARANI,"(-1.208334, 36.893421)",
BARAKA ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11,7.3,7.3,3,2,1,0,2,0,0,22,0,0,0,0,0,0,1,1,1,1,RIFT VALLEY,KAKAMEGA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,MUNICIPALITY,"(1.044235, 34.995708)",
